,Unnamed: 0,RATE_ID,MMKT_FIELD_ID,DATA_TYPE,DATA_ID,FIELD_ID,USE_FLAG,SCALE_FACTOR,INVALID_VALUES
0,,CNHUSD3F3L6M,MID,IR,CRST25USDCNH06M,MID종가,Y,0.01,
1,,CNHUSD3F3L9M,MID,IR,CRST25USDCNH09M,MID종가,Y,0.01,
2,,CNHUSD3F3L1Y,MID,IR,CRST25USDCNH01Y,MID종가,Y,0.01,
3,,CNHUSD3F3L2Y,MID,IR,CRST25USDCNH02Y,MID종가,Y,0.01,
4,,CNHUSD3F3L3Y,MID,IR,CRST25USDCNH03Y,MID종가,Y,0.01,
5,,CNHUSD3F3L4Y,MID,IR,CRST25USDCNH04Y,MID종가,Y,0.01,
6,,CNHUSD3F3L5Y,MID,IR,CRST25USDCNH05Y,MID종가,Y,0.01,
7,,CNHUSD3F3L7Y,MID,IR,CRST25USDCNH07Y,MID종가,Y,0.01,
8,,CNHUSD3F3L10Y,MID,IR,CRST25USDCNH10Y,MID종가,Y,0.01,
9,,USDEUR3L3L1Y,MID,IR,BASTP1EURUSD01Y,MID종가,Y,0.0001,
