RATE_ID,MMKT_FIELD_ID,DATA_TYPE,DATA_ID,FIELD_ID,USE_FLAG,SCALE_FACTOR,INVALID_VALUES
CNHUSD3F3L6M,MID,IR,CRST25USDCNH06M,MID종가,Y,0.01,
CNHUSD3F3L9M,MID,IR,CRST25USDCNH09M,MID종가,Y,0.01,
CNHUSD3F3L1Y,MID,IR,CRST25USDCNH01Y,MID종가,Y,0.01,
CNHUSD3F3L2Y,MID,IR,CRST25USDCNH02Y,MID종가,Y,0.01,
CNHUSD3F3L3Y,MID,IR,CRST25USDCNH03Y,MID종가,Y,0.01,
CNHUSD3F3L4Y,MID,IR,CRST25USDCNH04Y,MID종가,Y,0.01,
CNHUSD3F3L5Y,MID,IR,CRST25USDCNH05Y,MID종가,Y,0.01,
CNHUSD3F3L7Y,MID,IR,CRST25USDCNH07Y,MID종가,Y,0.01,
CNHUSD3F3L10Y,MID,IR,CRST25USDCNH10Y,MID종가,Y,0.01,
USDEUR3L3L1Y,MID,IR,BASTP1EURUSD01Y,MID종가,Y,0.0001,
USDEUR3L3L2Y,MID,IR,BASTP1EURUSD02Y,MID종가,Y,0.0001,
USDEUR3L3L3Y,MID,IR,BASTP1EURUSD03Y,MID종가,Y,0.0001,
USDEUR3L3L4Y,MID,IR,BASTP1EURUSD04Y,MID종가,Y,0.0001,
USDEUR3L3L5Y,MID,IR,BASTP1EURUSD05Y,MID종가,Y,0.0001,
USDEUR3L3L6Y,MID,IR,BASTP1EURUSD06Y,MID종가,Y,0.0001,
USDEUR3L3L7Y,MID,IR,BASTP1EURUSD07Y,MID종가,Y,0.0001,
USDEUR3L3L8Y,MID,IR,BASTP1EURUSD08Y,MID종가,Y,0.0001,
USDEUR3L3L9Y,MID,IR,BASTP1EURUSD09Y,MID종가,Y,0.0001,
USDEUR3L3L10Y,MID,IR,BASTP1EURUSD10Y,MID종가,Y,0.0001,
USDEUR3L3L11Y,MID,IR,BASTP1EURUSD11Y,MID종가,Y,0.0001,
USDEUR3L3L12Y,MID,IR,BASTP1EURUSD12Y,MID종가,Y,0.0001,
USDEUR3L3L13Y,MID,IR,BASTP1EURUSD13Y,MID종가,Y,0.0001,
USDEUR3L3L14Y,MID,IR,BASTP1EURUSD14Y,MID종가,Y,0.0001,
USDEUR3L3L15Y,MID,IR,BASTP1EURUSD15Y,MID종가,Y,0.0001,
USDEUR3L3L20Y,MID,IR,BASTP1EURUSD20Y,MID종가,Y,0.0001,
USDEUR3L3L25Y,MID,IR,BASTP1EURUSD25Y,MID종가,Y,0.0001,
USDEUR3L3L30Y,MID,IR,BASTP1EURUSD30Y,MID종가,Y,0.0001,
USDEUR3L3L40Y,MID,IR,BASTP1EURUSD40Y,MID종가,Y,0.0001,
USDEUR3L3L50Y,MID,IR,BASTP1EURUSD50Y,MID종가,Y,0.0001,
GBPLIBOR1M,MID,IR,IBRGBPBFRS  01M,금리,Y,0.01,
